step,worker_id,x,y,H,cum_distance,info_age_sum,state,mode,target_task_id
1,0,50.0,50.0,,0.0,0,,reconstruction,
1,1,50.0,50.0,,0.0,0,,reconstruction,
1,2,50.0,50.0,,0.0,0,,reconstruction,
1,3,50.0,50.0,,0.0,0,,reconstruction,
1,4,50.0,50.0,,0.0,0,,reconstruction,
1,5,50.0,50.0,,0.0,0,,reconstruction,
1,6,50.0,50.0,,0.0,0,,reconstruction,
1,7,50.0,50.0,,0.0,0,,reconstruction,
1,8,50.0,50.0,,0.0,0,,reconstruction,
1,9,50.0,50.0,,0.0,0,,reconstruction,
2,0,50.0,50.0,,0.0,0,,reconstruction,
2,1,50.0,50.0,,0.0,0,,reconstruction,
2,2,50.0,50.0,,0.0,0,,reconstruction,
2,3,50.0,50.0,,0.0,0,,reconstruction,
2,4,50.0,50.0,,0.0,0,,reconstruction,
2,5,50.0,50.0,,0.0,0,,reconstruction,
2,6,50.0,50.0,,0.0,0,,reconstruction,
2,7,50.0,50.0,,0.0,0,,reconstruction,
2,8,50.0,50.0,,0.0,0,,reconstruction,
2,9,50.0,50.0,,0.0,0,,reconstruction,
3,0,50.0,50.0,,0.0,0,,reconstruction,
3,1,50.0,50.0,,0.0,0,,reconstruction,
3,2,50.0,50.0,,0.0,0,,reconstruction,
3,3,50.0,50.0,,0.0,0,,reconstruction,
3,4,50.0,50.0,,0.0,0,,reconstruction,
3,5,50.0,50.0,,0.0,0,,reconstruction,
3,6,50.0,50.0,,0.0,0,,reconstruction,
3,7,50.0,50.0,,0.0,0,,reconstruction,
3,8,50.0,50.0,,0.0,0,,reconstruction,
3,9,50.0,50.0,,0.0,0,,reconstruction,
4,0,50.0,50.0,,0.0,0,,reconstruction,
4,1,50.0,50.0,,0.0,0,,reconstruction,
4,2,50.0,50.0,,0.0,0,,reconstruction,
4,3,50.0,50.0,,0.0,0,,reconstruction,
4,4,50.0,50.0,,0.0,0,,reconstruction,
4,5,50.0,50.0,,0.0,0,,reconstruction,
4,6,50.0,50.0,,0.0,0,,reconstruction,
